title,type,question,A,B,C,D,E,answer,image
Satellite,radio,180-2000km,LEO,MEO,HEO,GEO,GSO,A,
,radio,2000-35780km,LEO,MEO,HEO,GEO,GSO,B,
,radio,>35780km,LEO,MEO,HEO,GEO,GSO,C,
,checkbox,35786km,LEO,MEO,HEO,GEO,GSO,"D,E",
,radio,准准在 equator / khatulistiwa 上的,LEO,MEO,HEO,GEO,GSO,D,
,radio,在 equator / khatulistiwa 上有 inclined angle / sudut kecondongan 的,LEO,MEO,HEO,GEO,GSO,E,
,checkbox,orbit 有什么形状？,Perfectly circular / Bulatan sempurna,Elliptical / Elips,Triangular / Segi tiga,Zigzag / Berzigzag,Rectangular / Segi empat tepat,"A,B",
,radio,距离地球最远的是,Perigee / Perigi,Apogee / Apogi,,,,B,
,radio,距离地球最近的是,Perigee / Perigi,Apogee / Apogi,,,,A,
,radio,Altitude / Altitud 越高，卫星速度越,快,慢,,,,B,
,radio,Altitude / Altitud 越低，卫星速度越,快,慢,,,,A,
,radio,哪个发射火箭的方法快？,Directly into orbit / Pindah secara terus ke orbit,Hohmann transfer orbit / Orbit pindah Hohmann,,,,A,
,radio,哪个发射火箭的方法慢？,Directly into orbit / Pindah secara terus ke orbit,Hohmann transfer orbit / Orbit pindah Hohmann,,,,B,
,radio,哪个发射火箭的方法贵？,Directly into orbit / Pindah secara terus ke orbit,Hohmann transfer orbit / Orbit pindah Hohmann,,,,A,
,radio,哪个发射火箭的方法便宜？,Directly into orbit / Pindah secara terus ke orbit,Hohmann transfer orbit / Orbit pindah Hohmann,,,,B,
,radio,哪种 Launch vehicles / Kenderaan peancar 是一次性的？,ELV,RLV,,,,A,
,radio,哪种 Launch vehicles / Kenderaan peancar 可重复使用？,ELV,RLV,,,,B,
,radio,哪个活动能模拟 Zero gravity / Keadaan sifar graviti ?,Indoor skydiving / Terjun udara dalaman,Jogging in the park / Berjoging di taman,Swimming in a pool / Berenang dalam kolam,Riding a roller coaster / Menaiki roller coaster,,A,
,radio,ISS 绕地球一圈多久？,1.5 小时,16 小时,24 小时,12 小时,,A,
,radio,Space junk 的增加会导致,Risk of collision of satellites / Risiko perlanggaran satelit,Increase in Earth’s gravity / Peningkatan graviti Bumi,Improved signal strength for communication / Kekuatan isyarat komunikasi bertambah baik,Faster rotation of Earth / Putaran Bumi menjadi lebih laju,,A,
