title,type,question,A,B,C,D,E,answer,image
"Work, Energy and Power",radio,SI unit for work / Unit SI untuk kerja,joule (J),watt (W),volt (V),ampere (A),,A,
,radio,哪个是 Work / Kerja 的formula ?,Fs,W/t,mgh,½mv²,½Fx,A,
,radio,1kg = ? N,1,10,0.1,100,,B,
,radio,"Lifting an object vertically through a height of 1 m with a force of 20 N against the gravitational force / 
Mengangkat objek setinggi 1 m dengan daya 20 N secara  menegak untuk melawan daya tarikan graviti

Work / Kerja 怎么算？",20 x 1,2 x 1,2 x 100,20 x 100,,A,
,radio,"Pushing a trolley over a distance of 5 m with a force of 10 N / 
Menolak troli sejauh 5 m dengan daya 10 N

Work / Kerja 怎么算？",10 x 5,100 x 5,1 x 5,10 x 500,,A,
,radio,"Pulling a drawer over a distance of 30 cm with a force of 2 N / 
Menarik laci sejauh 30 cm dengan daya 2 N

Work / Kerja 怎么算？",2 x 30,2 x 0.3,0.2 x 30,0.2 x 0.3,,B,
,radio,"a student weighing 400 N carrying a load of 100 N while climbing a flight of stairs of a vertical height of 3 m / 
seorang murid yang mempunyai berat badan 400 N dengan beban di tangannya 100 N menaiki tangga dengan tinggi tegak 3 m. Hitung kerja yang dilakukan

Work / Kerja 怎么算？",500 x 3,50 x 3,500 x 300,50 x 300,,A,
,radio,"Ali lifting a box of mass 10 kg from the floor to the top of a 2m cupboard / 
Ali mengangkat sebuah kotak berjisim 10 kg dari lantai ke atas almari 2m

Work / Kerja 怎么算？",100 x 2,10 x 2,100 x 200,10 x 200,,A,
,radio,"A monkey weighing 50 N climbed a height of 3 m up a tree in 20 s
Seekor monyet mempunyai berat 50 N memanjat pokok setinggi 3 m dalam masa 20 s

Power / Kuasa 怎么算？",50 x 3 ÷ 20,5 x 3 ÷ 20,50 x 300 ÷ 20,5 x 300 ÷ 20,,A,
,radio,"Aizul pulled a box up a smooth ramp from A to B with a force of 30 N over a distance of 2 m (in the direction of the force) in 5 s / 
Aizul menarik sebuah kotak di atas landasan licin dari A ke B dengan daya 30 N sejauh 2 m (dalam arah daya) dalam masa 5 s

Power / Kuasa 怎么算？",30 x 2 ÷ 5,30 x 200 ÷ 5,3 x 2 ÷ 5,3 x 200 ÷ 5,,A,
,radio,"A 150 N weight is lifted to a height of 1 m in 0.5 s / 
Pemberat 150 N diangkat setinggi 1 m dalam masa 0.5 s

Power / Kuasa 怎么算？",150 x 1 ÷ 0.5,15 x 1 ÷ 0.5,150 x 100 ÷ 0.5,15 x 100 ÷ 0.5,,A,
